,city_name,name,city_cleaned
0,Bihar,Bodh Gaya,Bodh-Gaya
1,Bihar,Patna,Patna
2,Bihar,Nalanda,Nalanda
3,Bihar,Vaishali,Vaishali
4,Bihar,Madhubani,Madhubani
5,Bihar,Muzaffarpur,Muzaffarpur
6,Bihar,Bhagalpur,Bhagalpur
7,Bihar,Rajgir,Rajgir
8,Bihar,Pawapuri,Pawapuri
9,Bihar,Hajipur,Hajipur
10,Bihar,Sitamarhi,Sitamarhi
11,Bihar,Lauriya Nandangarh,Lauriya-Nandangarh
12,Bihar,Valmiki National Park,Valmiki-National-Park
13,Bihar,Chhat Puja,Chhat-Puja
14,Bihar,Tomb of Sher Shah Suri,Tomb-of-Sher-Shah-Suri
15,Bihar,Navlakha Palace,Navlakha-Palace
16,Bihar,Jal Mandir,Jal-Mandir
17,Bihar,Mundeshwari Temple,Mundeshwari-Temple
18,Andhra Pradesh,Araku Valley,Araku-Valley
19,Andhra Pradesh,Visakhapatnam,Visakhapatnam
20,Andhra Pradesh,Amaravathi,Amaravathi
21,Andhra Pradesh,Gandikota,Gandikota
22,Andhra Pradesh,Tirupati,Tirupati
23,Andhra Pradesh,Vijayawada,Vijayawada
24,Andhra Pradesh,Anantapur,Anantapur
25,Andhra Pradesh,Srisailam,Srisailam
26,Andhra Pradesh,Ananthagiri Hills,Ananthagiri-Hills
27,Andhra Pradesh,Kurnool,Kurnool
28,Andhra Pradesh,Guntur,Guntur
29,Andhra Pradesh,Nellore,Nellore
30,Andhra Pradesh,Lepakshi,Lepakshi
31,Andhra Pradesh,Rajahmundry,Rajahmundry
32,Andhra Pradesh,Horsley Hills,Horsley-Hills
33,Andhra Pradesh,Rollapadu Wildlife Sanctuary,Rollapadu-Wildlife-Sanctuary
34,Andhra Pradesh,Lambasingi,Lambasingi
35,Andhra Pradesh,Chittoor,Chittoor
36,Andhra Pradesh,Borra Caves,Borra-Caves
37,Andhra Pradesh,Bhavani Island,Bhavani-Island
38,Andhra Pradesh,Machilipatnam,Machilipatnam
39,Andhra Pradesh,Kakinada,Kakinada
40,Andhra Pradesh,Konaseema,Konaseema
41,Andhra Pradesh,Srikalahasti,Srikalahasti
42,Andhra Pradesh,Mantralayam,Mantralayam
43,Andhra Pradesh,Annavaram,Annavaram
44,Andhra Pradesh,Puttaparthi,Puttaparthi
45,Andhra Pradesh,Vizianagaram,Vizianagaram
46,Andhra Pradesh,Samalkot,Samalkot
47,Andhra Pradesh,Nagarjunakonda,Nagarjunakonda
48,Andhra Pradesh,Yaganti,Yaganti
49,Andhra Pradesh,Rushikonda Beach,Rushikonda-Beach
50,Andhra Pradesh,Coringa Wildlife Sanctuary,Coringa-Wildlife-Sanctuary
51,Andhra Pradesh,Maredumilli,Maredumilli
52,Andhra Pradesh,Draksharamam,Draksharamam
53,Andhra Pradesh,Oravakallu Rock Garden,Oravakallu-Rock-Garden
54,Andhra Pradesh,Ahobilam Temple,Ahobilam-Temple
55,Andhra Pradesh,Rayadurg,Rayadurg
56,Andhra Pradesh,Kaigal Falls,Kaigal-Falls
57,Andhra Pradesh,Tadipatri,Tadipatri
58,Andhra Pradesh,Nagalapuram,Nagalapuram
59,Andhra Pradesh,Chirala Beach,Chirala-Beach
60,Chhattisgarh,Barnawapara Wildlife Sanctuary,Barnawapara-Wildlife-Sanctuary
61,Chhattisgarh,Raipur,Raipur
62,Chhattisgarh,Jagdalpur,Jagdalpur
63,Chhattisgarh,Charre Marre Waterfalls,Charre-Marre-Waterfalls
64,Chhattisgarh,Sirpur,Sirpur
65,Chhattisgarh,Mainpat,Mainpat
66,Chhattisgarh,Madku Dweep,Madku-Dweep
