state_name_x,city_name,place,description,state_name_y,best_time,ideal_duration
Bihar,Muzaffarpur, Litchi Gardens ," Muzaffarpur is one of the leaders in the production of Lychee and is famous for its lychee gardens. The district of Muzaffarpur produces a combined 3 lakh tonnes of Lychee every year. One can get the taste of some delicious garden fresh Lychees here in May & June. This is the time when the Lychees are ripe and in perfect taste. The most sought-after destinations among the tourists are the Mushahari, Jhapaha and the Bochaha Gardens. It is recommended to visit the gardens during the cultivation which happens in May & June as the cultivation period has a festive vibe in the gardens. ",,,
Bihar,Muzaffarpur, Garib Sthan Mandir ," One of the centres of attraction of Muzaffarpur is Baba Garibnath Temple which resides in the heart of the city. The temple is home to the Shivling of Lord Shiva as Baba Gareebnath. Legend has it that the Shivaling was acquired from the Peepal Tree where the Temple now stands. The man who cut down the tree witnessed blood oozing out of the tree, revealing the Shivling which compelled him to build the shrine that now attracts a large number of devotees. Baba Gareebnath Temple is especially crowded during the holy month of Shravan. ",,,
Bihar,Muzaffarpur, Jubba Sahni Park , Jubba Sahni Park is a children's park located in the Mithanpura area of Muzaffarpur. The Park was named after the freedom fighter Jubba Sahni as a tribute. It is nothing different than any other parks but is a favourite among the locals and tourists equally.  ,,,
Bihar,Muzaffarpur, Khudiram Bose Memorial , Khudiram Bose Memorial was raised as a tribute to the 18-year-old Freedom Fighter Khudiram Bose. Bose was executed along with Prafool Chaki in 1908 for throwing a bomb at Kingsford who was at the time the British session judge of Muzaffarpur. This historical location is visited by numerous tourists who are fascinated by the story of the young fighter who was sent to martyrdom with a smile on his face. ,,,
Bihar,Muzaffarpur, Ramchandra Shahi Museum ," Ramchandra Shahi Museum is a must visit place for all the history buffs. The Museum was constructed in 1979 in the vicinity of Jubba Sahni Park and holds exhibits of ancient utensils, artifacts and intricate statues like the Manasa Nag and Ashtadikpal. Each article is a unique attraction to the visitors. ",,,
Bihar,Muzaffarpur, Devi Mandir ," The Devi Mandir in Muzaffarpur, Bihar, is considered a very holy temple, dedicated to Goddess Durga. The temple is one of the 51 Shaktipeeth, small shrines and big temples dedicated to Goddess Shakti in all her forms.  The temple is actually called Maa Raj Rajeshwari Mandir, which is the form of Durga with 18 hands.  ",,,
Bihar,Muzaffarpur, Motijheel ," Motijheel is the main market of the city of Muzaffarpur, Bihar. You can find all kinds of things at this market, from clothes, shoes, accessories, books, jewellery, home products, street food and restaurants and whatnot, at very reasonable prices The market is called the heart of Muzaffarour.  ",,,
Bihar,Muzaffarpur, The Grand Mall ," The Grand Mall is a large shopping mall located in Mohammadpur Kazi, Mithanpura, Muzaffarpur. The mall consists of shops and novelty stores dedicated to fashion, accessories, beauty and household products. It has a state of the art theatre, with 3D facilities.  ",,,
Bihar,Muzaffarpur, Vaishali Bakery ," This is a large confectionery and restaurant franchise in Muzaffarpur, with cafes and bakeries of the same name. It is located on Chakkar Chowk in Muzaffarpur. One can get freshly baked bread, pastries, fast food, handmade cookies and savoury snacks at very reasonable prices, with almost everything under ₹150.  ",,,
Bihar,Bhagalpur, Vikramshila ," Known to be one of the most prominent Buddhist learning centres during the Pala Empire, Vikramshila was established as a measure when the quality of education at Nalanda started declining. Found by the Pala King Dharmapala sometime between the 8th and 9th century, Vikramshila was a part of the network of the five important learning centres of the era, and it was home to more than 100 teachers and 1000 students. ",,,
Bihar,Bhagalpur, Vikramshila Gangetic Dolphin Sanctuary ," Located in the Bhagalpur District of Bihar, Vikramshila Gangetic Dolphin Sanctuary is stretched over a span of 50 km of the river Ganges, starting from Sultangunj to Kahalgaon. The Sanctuary was established in the year 1991 to protect the endangered species of Gangetic Dolphins which were once found in abundance, but now only a few hundreds of them have survived.  ",,,
Bihar,Bhagalpur, Mandar Parvat ," Mandara Parvat (Hill) is located about 48 km to the south of Bhagalpur city in Bihar. Mandara is a nearly 750 feet tall granite hill, and according to a mythological text, Bhagalpur was the place where Samudra Manthan took place, and the Devatas and the Asuras churned the ocean of milk using Mount Mandara to obtain Elixir. The Serpent King Vasuki is said to have offered himself to be used as a rope to churn the ocean of milk, and the faint impressions of a coil on the Mandara hill stand as a proof of this story. One of the Purana says that Lord Vishnu Defeated the demon Madhu and placed the hill which is now known as Mandara, over him. The conch shell, Panchajanya, which marked the start of the war of Mahabharata is believed to have been obtained from the Shankha Kunda. Kalidasa refers to Vishnu’s foot marks on Mount Mandara in his epic Kumarasambhava. The Hill happens to have numerous sculptures of Hindu Gods cut into its Rocks. A belief among the Jains depicts that the 12th Tirthankara, Vasupujya attained Nirvana at the peak of the same hill.  ",,,
Bihar,Bhagalpur, Kuppaghat Ashram ," Kuppaghat is a place located by the banks of the holy river Ganges in Bhagalpur, Bihar. Kuppaghat translates to “cave by the banks of a river” and accordingly has a cave which is believed to have been used by Maharshi Mehi Paramhans as a place for meditation. Kuppaghat has been transformed in the later years as Maharshi Mehi Ashram and has grown to be a pilgrimage for the Followers of Santmat. Every year on the occasion of the Birth Anniversary of Maharshi Mehi, Maharshi Santsevi who was Mehi’s successor and on Guru Purnima, the Ashram is visited by many devotees. This dearness of the devotees made the Ashram as the National Headquarters of Akhila Bharatiya Santmat-Satsang. The Kuppaghat Ashram has a well-maintained garden and Orchard with sculptures and paintings of scenes depicting Lord Rama’s visit to Shabari and also of Jatayu’s death in the hands of Ravana along with spiritual quotes. ",,,
Bihar,Bhagalpur, Ajgaivinath Temple ," Ajgaivinath Temple, located in Sultanganj, is one of the most famous Hindu Temples dedicated to Lord Shiva. The Idol in the main temple of Ajgaibnath is believed to be Swayambhu (Self-manifester). The temple has been associated with Muni Jahnu, as a belief says that the Idol in the Ajgaivinath Temple protruded in Jahnu Muni’s ashram. There is a story which says that when Muni Jahnu was meditating in his ashram, the Ganges on her way to the ocean disturbed Jahnu with the ripples of her waves. Muni Jahnu is believed to have swallowed the whole river, and Muni Bhagirath saved the Ganges by making an incision on Jahnu’s thighs to make way for the Ganges. Thus river Ganges received the name Jahnavi. ",,,
Bihar,Bhagalpur, Budhanath Temple ," Budhanath temple is one of the main attractions of around Bhagalpur, and it is located on the banks of Uttaravahini Ganga (The Northward flowing Ganges). Budhanath happens to be one of the oldest temples of the region and welcomes a great inflow of devotees throughout the year. Baba Budhanath is referred to in the Shiva Puranas as Bal Vridheshwarnath in the first of the eight segments. The Shiva Linga that resides in the temple is believed to have been self-manifested as it is not known about the birth of the Shivalinga. ",,,
