city_name,name,description
Manali, 1. Old Manali ," On the other side of the Manalsu river is a part of Manali, time left behind. With a sweet scent of an old world charm, interspersed with guesthouses and an increasing presence of tourism and hints of the present that it brings along, Old Manali is a tiny shift in the world and its rush, one must experience while here. "
Manali, 2. Solang Valley ," Solang Valley is one of the most popular tourist destinations in Himachal Pradesh. It is popular for adventure sports. During winters, Solang valley is covered with snow making skiing is a popular sport here. There are training institutes and trainers located to supervise skiers and train beginners. "
Manali, 3. Jogini Waterfall , Jogini Waterfall is located about 3 kilometres away from the bustling town of Manali and around 2 kilometres away from Vashisht Temple. Tourists have to trek ahead from the temple to reach Jogini Waterfall. 
Manali, 4. Paragliding in Manali ," The hillside town of Manali is famous for paragliding. At 2050 metres above sea level, it is an ultimate location for the sport, with its beautiful green valleys, stark blue skies, and snow-capped mountain peaks.  "
Manali, 5. Sethan Valley ," Sethan is a quaint village in Himachal Pradesh, approximately 12 km from Manali. This Buddhist village is a tiny hamlet that oversees the Dhauladhar range. Covered in snow during winters, Sethan Valley is a great place to try out skiing and snowboarding. "
Manali, 6. Rohtang Pass ," Rohtang pass is the stretch which connects Manali to Himachal's more dreamy and dessert-like landscapes, Spiti and Lahaul. Popular adventure sports here are sledge ride, mountain biking, and skiing. Many blockbusters ranging from 'Jab We Met' to 'Yeh Jawani Hai Deewani' have been shot here.  "
Manali, 7. Rafting ," River Rafting in Manali is done along the River Beas and is considered ideal for expert rafters as well as beginners. Many service providers organize the sport of rafting in Manali and offer rafting gear on rent including raft, helmet, life-jacket and oars. Tented accommodation, campfires and bonfires are available on demand. The total cost of rafting in Kullu-Manali ranges from INR 500 to INR 2000 per person. "
Manali, 8. Skiing in Manali ," A major tourist spot of North India, Manali is known for its excellent skiing conditions with skiing enthusiasts visiting from all over the country. The undulating slopes of Solang Valley and Rohtang Pass are perfect for skiing.  "
Manali, 9. Jana Waterfall , Jana Waterfall is a 30 feet high watefall located near Manali in a quaint village called Jana. One has to trek to the waterfall through dense deodar and pine trees amidst snow-capped mountains.  
Manali, 10. Parvati Valley ," Parvati Valley is famous for the backpacker hangouts, and adventure activities. It is also a popular amongst hippie travellers for its famous charas (hashish), rave parties, and spiritual experience. Kasol, Malana, Tosh, Kalga, Pulga, Rasol, Kheerganga and Chalal are some of the vilages located in Parvati Valley. "
Manali, 11. The Great Himalayan National Park ," The newest addition to the list of National parks in India, The Great Himalayan National Park is quickly becoming what the wildlife scene in the region is being identified with and defined by. You can now trek and camp in the national park.  "
Manali, 12. Sissu ," Also known as Khwaling, Sissu in Lahaul, Himachal Pradesh, is situated on the right bank of Chandra River. A drive out of the North End of the Rohtang/Atal Tunnel will bring tourists into Sissu, set amidst high peaks like the Gyephang Goh. It draws many visitors owing to the breathtaking view of the waterfall, locally called Palden Lhamo dhar.  "
Manali, 13. Kullu ," With panoramic views and majestic hills covered with Deodar and Pine trees, Kullu is a nature lover's paradise. Situated at an altitude of 1230 meters between Pir Pranjal, Lower Himalayan, and Great Himalayan Ranges, Kullu is abundant with apple orchards.  Rafting is a popular activity that starts from Pirni, around 4 km away from Kullu. "
Manali, 14. Arjun Gufa , Arjun Gufa is considered to be a legendary natural formation in Manali. The cave is a favourite picnic spot and is also famous for the adventure of exploring the creation from inside. The climb up to the cave is exciting in itself with the surrounding natural landscape so beautiful it cannot be explained in words. 
