,state_name,city_name,place,description_main,best_time,ideal_duration,latitude place,longitude place
0,Bihar,Muzaffarpur, Litchi Gardens ," Muzaffarpur is one of the leaders in the production of Lychee and is famous for its lychee gardens. The district of Muzaffarpur produces a combined 3 lakh tonnes of Lychee every year. One can get the taste of some delicious garden fresh Lychees here in May & June. This is the time when the Lychees are ripe and in perfect taste. The most sought-after destinations among the tourists are the Mushahari, Jhapaha and the Bochaha Gardens. It is recommended to visit the gardens during the cultivation which happens in May & June as the cultivation period has a festive vibe in the gardens. "," Oct-Mar 
            ",1.5,26.1486581,85.34001282
1,Bihar,Muzaffarpur, Garib Sthan Mandir ," One of the centres of attraction of Muzaffarpur is Baba Garibnath Temple which resides in the heart of the city. The temple is home to the Shivling of Lord Shiva as Baba Gareebnath. Legend has it that the Shivaling was acquired from the Peepal Tree where the Temple now stands. The man who cut down the tree witnessed blood oozing out of the tree, revealing the Shivling which compelled him to build the shrine that now attracts a large number of devotees. Baba Gareebnath Temple is especially crowded during the holy month of Shravan. "," Oct-Mar 
            ",1.5,26.1486581,85.34001282
2,Bihar,Muzaffarpur, Jubba Sahni Park , Jubba Sahni Park is a children's park located in the Mithanpura area of Muzaffarpur. The Park was named after the freedom fighter Jubba Sahni as a tribute. It is nothing different than any other parks but is a favourite among the locals and tourists equally.  ," Oct-Mar 
            ",1.5,26.1486581,85.34001282
3,Bihar,Muzaffarpur, Khudiram Bose Memorial , Khudiram Bose Memorial was raised as a tribute to the 18-year-old Freedom Fighter Khudiram Bose. Bose was executed along with Prafool Chaki in 1908 for throwing a bomb at Kingsford who was at the time the British session judge of Muzaffarpur. This historical location is visited by numerous tourists who are fascinated by the story of the young fighter who was sent to martyrdom with a smile on his face. ," Oct-Mar 
            ",1.5,26.1486581,85.34001282
4,Bihar,Muzaffarpur, Ramchandra Shahi Museum ," Ramchandra Shahi Museum is a must visit place for all the history buffs. The Museum was constructed in 1979 in the vicinity of Jubba Sahni Park and holds exhibits of ancient utensils, artifacts and intricate statues like the Manasa Nag and Ashtadikpal. Each article is a unique attraction to the visitors. "," Oct-Mar 
            ",1.5,26.11206185,85.39608666
5,Bihar,Muzaffarpur, Devi Mandir ," The Devi Mandir in Muzaffarpur, Bihar, is considered a very holy temple, dedicated to Goddess Durga. The temple is one of the 51 Shaktipeeth, small shrines and big temples dedicated to Goddess Shakti in all her forms.  The temple is actually called Maa Raj Rajeshwari Mandir, which is the form of Durga with 18 hands.  "," Oct-Mar 
            ",1.5,21.1480043,79.1086308
6,Bihar,Muzaffarpur, Motijheel ," Motijheel is the main market of the city of Muzaffarpur, Bihar. You can find all kinds of things at this market, from clothes, shoes, accessories, books, jewellery, home products, street food and restaurants and whatnot, at very reasonable prices The market is called the heart of Muzaffarour.  "," Oct-Mar 
            ",1.5,22.6224339,88.410193
7,Bihar,Muzaffarpur, The Grand Mall ," The Grand Mall is a large shopping mall located in Mohammadpur Kazi, Mithanpura, Muzaffarpur. The mall consists of shops and novelty stores dedicated to fashion, accessories, beauty and household products. It has a state of the art theatre, with 3D facilities.  "," Oct-Mar 
            ",1.5,26.1486581,85.34001282
8,Bihar,Muzaffarpur, Vaishali Bakery ," This is a large confectionery and restaurant franchise in Muzaffarpur, with cafes and bakeries of the same name. It is located on Chakkar Chowk in Muzaffarpur. One can get freshly baked bread, pastries, fast food, handmade cookies and savoury snacks at very reasonable prices, with almost everything under â‚¹150.  "," Oct-Mar 
            ",1.5,26.9104383,75.7440869
9,Bihar,Bhagalpur, Vikramshila ," Known to be one of the most prominent Buddhist learning centres during the Pala Empire, Vikramshila was established as a measure when the quality of education at Nalanda started declining. Found by the Pala King Dharmapala sometime between the 8th and 9th century, Vikramshila was a part of the network of the five important learning centres of the era, and it was home to more than 100 teachers and 1000 students. "," Oct-Mar 
            ",1.5,28.543904,77.18097437
