place,latitude,longitude
 Calangute Beach ,15.54248845,73.75556172684907
 Fort Aguada ,15.4923866,73.77359756874338
 Cruise in Goa ,15.49975855,73.83602072968799
 Water Sports in Goa ,15.2758815,73.91715
 Dudhsagar Falls ,15.3135273,74.3142439
 Anjuna Beach ,15.576183149999999,73.74010197317997
 Chapora Fort ,15.6059695,73.73626198598717
 Thalassa  ,15.4908325,73.815893
 Basilica of Bom Jesus ,15.50067815,73.9110524735566
 Baga Beach ,15.5573721,73.75098000806346
 Butterfly Beach ,15.01946635,74.0016343284091
 Divar Island ,15.5250877,73.9078238104479
 Scuba Diving in Goa ,,
 Shopping in Goa ,15.5016165,73.9097244
 Dona Paula ,15.4505271,73.8030641
 Arambol Beach ,15.67806525,73.70541085186719
 Vagator Beach ,15.597442950000001,73.73364186082766
 Fontainhas and Sao Tome ,,
 Church of Our Lady of the Immaculate Conception ,,
 Tito's Nightclub ,,
 Brittos ,15.5566283,73.754675
 Mambos ,11.6677356,92.7356792
 Club LPK - Love Passion Karma ,,
 Anjuna Flea Market ,15.5722646,73.7435442
 Palolem Beach ,15.0093077,74.02422899735367
 Bungee Jumping in Goa ,,
 Spa and Massages ,,
 Colva Beach ,15.2756507,73.9137265
 Morjim Beach ,15.6226214,73.73025102768045
 Casino ,13.0289717,77.5712245
 Agonda Beach ,15.0415524,73.98716228503216
 Candolim Beach ,15.51807475,73.76292381199656
 Se Cathedral ,15.50378315,73.912274142588
 Cavelossim Beach ,15.1712405,73.9418221152188
 Patnem Beach ,14.99710825,74.03382930569006
 Betalbatim Beach ,15.2931923,73.9077452
 Fort Tiracol ,15.7214139,73.6864016
 Grande Island ,,
 Bhagwan Mahavir Wildlife Sanctuary ,,
 Arvalem Waterfalls ,,
 Mollem National Park ,15.337680899999999,74.28493879992715
 Sunburn Festival ,,
 Carnival in Goa ,15.486556,73.80947
 Church of St,13.0891909,80.28731857864055
 Bambolim Beach ,15.44984775,73.85186038280455
 Butterfly Conservatory Of Goa ,,
 Sri Mahadeva Temple ,9.5038063,76.83960408166666
 Church of St Francis of Assisi ,15.649186149999998,73.8306645766588
 Cabo de Rama Beach ,15.1043943,73.92523353053434
 Church Of St Augustine ,,
 Savoi Spice Plantation ,15.4932054,74.0006761
 Ashwem Beach ,15.6418137,73.7191171
 Rafting in Rishikesh ,,
 Lakshman Jhula ,30.1265839,78.3293323
 Triveni Ghat ,30.103607,78.30485847232984
" Ganga Aarti, Rishikesh ",,
 Neelkantha Mahadeva Temple ,,
 The Beatles Ashram ,,
 Flying Fox ,,
 Bungee Jumping in Rishikesh ,,
 Tera Manzil Temple ,,
 Kaudiyala ,17.76396,76.9729563
 Kuari Pass ,30.4560433,79.5835983
 Neer Garh Waterfall ,,
 Geeta Bhawan ,30.37737985,78.44012548658472
" Bharat Mandir, Rishikesh ",30.106443,78.302067
 Muni ki Reti ,30.1198278,78.3062924
 Jadh Ganga Trek ,,
 Swarg Ashram ,28.710448,77.20367822404975
 Jumpin Heights ,30.0640866,78.4020059
 Rishikund ,,
 Ram Jhula ,30.1230092,78.3147114
 Piran Kaliyar Sharif ,,
 Byasi ,30.0284331,79.0945388
 Omkarananda Ashram ,30.12689545,78.32886984628591
 Sivananda Ashram ,30.12463015,78.31174955214753
 Kunjapuri Devi Temple ,,
" Raghunath Temple, Rishikesh ",,
 Swami Dayananda Ashram ,,
 Parmarth Niketan Ashram ,,
 Yoga Centres ,,
 Spa & Wellness ,,
 Cooking Classes ,26.8894205,75.7465483
 Vashista Gufa ,,
 Andhra Ashram ,11.9395203,79.8294034
 Anand Prakash Ashram ,,
 Madhuban Ashram ,,
 Himalayan Yog Ashram ,,
 Nirmal Ashram ,31.3961909,74.92813529940531
 Osho Ganga Ashram ,,
 Phool Chatti Ashram ,,
 Sadhaka Grama Ashram ,,
 Virbhadra Temple ,,
 Vanprastha Ashram ,,
 Garudchatti Waterfall  ,,
 Patna Waterfalls ,,
 Himshail Waterfalls ,,
 Phool Chatti Waterfalls ,,
 Kayaking in Rishikesh ,,
" International Yoga Festival, Parmarth Niketan Ashram ",,
 Houseboats in Alleppey ,,
 Alleppey Backwaters ,,
 Kuttanad ,9.4507458,76.43081811505664
 Alappuzha Beach ,9.463493549999999,76.32439114571872
 Alappuzha Lighthouse ,9.4939017,76.3210141
 Ambalappuzha Sree Krishna Temple ,9.38320555,76.36921427930879
 Marari Beach ,9.603180349999999,76.29799372732823
 Kayaking in Alleppey ,,
 Krishnapuram Palace ,9.150298750000001,76.50877437531287
 Vembanad Lake ,9.594922,76.394211337629
 Chettikulangara Devi Temple ,9.22759265,76.51725689907556
 Revi Karunakaran Museum ,,
 Mullakkal Temple ,9.4969708,76.34308382986845
" St George Forane Church, Edathua ",,
 Thottappally Beach ,9.3161184,76.37982346515273
 Punnapra Beach ,9.4337361,76.3433067
 Pallippuram ,9.7605593,76.3626011
 Nehru Trophy Boat Race ,9.5007263,76.3533479
 Spa & Massage in Alleppey ,,
 Coir Weaving in Alleppey ,,
 Punnamada Lake ,9.501296400000001,76.35470314863991
 Mannarasala Sree Nagaraja Temple ,9.29032295,76.44583463673541
 Karumadikkuttan ,,
 Vijay Beach Park ,9.497034450000001,76.31718717832428
 Thumpoly Beach ,,
 Pandavan Para ,,
 International Coir Museum ,9.5630698,76.3283727
 Haripad Sree Subrahmanya Swamy Temple ,,
 Arthunkal Beach ,9.652652499999999,76.29310156203012
 Thaikal Beach ,9.70813455,76.28769264256017
 Kayamkulam Kayal ,,
 Tata Tea Museum (KDHP Museum) ,,
" Echo Point, Munnar ",10.1207524,77.1517388
 Munnar Tea Plantations ,10.0564953,77.1151731
 Tree Houses in Munnar ,,
 Atukkad Waterfalls ,,
 Munnar Jeep Safari ,,
 Trekking in Munnar ,10.0886629,77.0586646
 Kolukkumalai Tea Estate ,10.078813100000001,77.05922109735545
 Rose Garden Munnar ,,
 Chokramudi Peak ,10.0354742,77.1057685
 Mattupetty Dam ,10.106302549999999,77.1239053525016
 Top Station ,10.1229157,77.2449857
 Photo Point ,15.282213,73.9784549
 Kalari Kshethra ,9.7836247,76.5178204
 Tea Shopping ,19.0616333,72.8361189
 Kundala Dam & Lake ,,
 Mattupetty Indo-Swiss Farm ,,
 Wonder Valley Adventure and Amusement Park ,,
 Lock Heart Gap ,,
 Chinnar Wildlife Sanctuary ,,
 Spa & Massages in Munnar ,,
 Sevenmallay Tea Estate ,,
 Mountain Biking in Munnar ,,
 Marayoor ,10.2757418,77.162036
 Lakkom Water Falls ,,
 Blossom Park ,,
 Chinnakanal Waterfalls ,,
 Chithirapuram ,10.02917765,77.04645317787228
 Lockhart Tea Museum ,,
 Nyayamakad Waterfalls ,,
 Pallivasal Tea Garden ,,
 Kuthumkal Waterfalls ,,
 Elephant Arrival Spot ,,
 High Range Club ,10.0722585,77.06533267690773
 Floriculture Centre ,10.08569365,77.07602018017711
 Valara Falls ,,
 CSI Christ Church ,9.969907599999999,76.30436963229286
 Elephant Lake ,27.32981105,88.84655942619618
 Anayirankal Dam ,10.0094462,77.2073808
 Punarjani Traditional Village ,,
 The Ridge ,31.1047906,77.1752833
" Mall Road, Shimla ",31.10449,77.1615431
" Christ Church, Shimla ",31.104309399999998,77.17601556420328
 Visceral Lodge ,,
 Himalayan Bird Park ,31.102903,77.1475157
 Kali Bari Temple ,31.1061127,77.1667746
 Johnnie's Wax Museum ,,
 Himachal State Museum ,31.1031447,77.1508283
 Kalka Shimla Toy Train ,,
 Annandale  ,,
 Kiala Forest ,,
 Scandal Point ,31.1052217,77.1725528
 Summer Hills ,,
 Indian Institute of Advanced Studies ,,
 Narkanda ,31.2547508,77.4612694
 Naldehra ,,
 Cafe Simla Times ,,
 Rothney Castle ,31.1046139,77.1794329
 Theog ,31.12144885,77.36497514311
 Shimla Reserve Forest Sanctuary ,,
 Lakkar Bazar ,30.9118316,75.8579454
 Jakhoo Ropeway ,,
 Gaiety Theatre Heritage Cultural Complex ,,
 Gorton Castle ,31.10492,77.1627159
 Bantony Castle ,31.1061523,77.1695597
 Horse Riding in Shimla ,,
 Solan ,30.92589585,77.08200509063624
 Mashobra ,31.1132833,77.5133514
 Shoghi ,31.0390358,77.1247482
 Ice Skating in Shimla ,,
